1,Emil,ZAJĄC,M,1951-10-18
2,Daniela,JAWORSKA,F,1945-10-04
3,Robert,BARAN,M,1978-11-11
4,Paweł,KACZMARCZYK,M,1986-12-22
5,Daniela,GÓRECKA,F,1982-11-16
6,Michalina,ADAMCZYK,F,1994-01-23
7,Kazimierz,WIECZOREK,M,1964-06-22
8,Zbigniew,ADAMCZYK,M,1966-07-18
9,Bogusław,KOWALCZYK,M,1967-01-13
10,Mikołaj,GRABOWSKI,M,1960-11-11
11,Daniel,KAMIŃSKI,M,1955-08-25
12,Wioletta,JAKUBOWSKA,F,1972-04-19
13,Ludwik,GAJEWSKI,M,1985-12-26
14,Agata,MALINOWSKA,F,1945-12-27
15,Mirosława,KRÓL,F,1963-01-24
16,Tomasz,WRÓBLEWSKI,M,1980-09-05
17,Stanisława,WRÓBEL,F,1970-01-23
18,Celina,SZYMAŃSKA,F,1971-08-05
19,Daniel,MAJEWSKI,M,1947-04-04
20,Leon,KACZMARCZYK,M,1991-12-31
21,Aleksandra,WIŚNIEWSKA,F,1969-09-18
22,Marek,WOŹNIAK,M,1968-10-07
23,Walentyna,PRZYBYLSKA,F,1995-03-07
24,Karol,MRÓZ,M,1985-04-15
25,Andrzej,PIETRZAK,M,1976-08-17
26,Gerard,JABŁOŃSKI,M,1982-10-07
27,Lech,MACIEJEWSKI,M,1954-07-10
28,Walentyna,PAWLAK,F,1958-04-26
29,Stefania,SIKORA,F,1961-04-30
30,Alina,PAWŁOWSKA,F,1961-08-16
31,Cezary,DUDEK,M,1962-01-06
32,Mirosława,OSTROWSKA,F,1956-06-26
33,Romuald,WRÓBEL,M,1979-03-26
34,Olga,BORKOWSKA,F,1958-04-04
35,Przemysław,WRÓBEL,M,1997-04-14
36,Grzegorz,SADOWSKI,M,1943-11-26
37,Franciszka,PAWŁOWSKA,F,1987-02-24
38,Bernard,KUCHARSKI,M,1953-02-26
39,Rafał,GÓRSKI,M,1961-01-27
40,Ignacy,JASIŃSKI,M,1950-05-31
41,Danuta,ANDRZEJEWSKA,F,1975-09-11
42,Aniela,SOBCZAK,F,2000-06-02
43,Tomasz,SZULC,M,1965-10-01
44,Jacek,SZULC,M,1975-05-16
45,Arkadiusz,KONIECZNY,M,1958-01-08
46,Róża,MACIEJEWSKA,F,1973-04-29
47,Maria,DUDA,F,1999-01-20
48,Wiktor,NOWAKOWSKI,M,1973-03-29
49,Sebastian,DUDEK,M,1987-05-15
50,Stefania,OLSZEWSKA,F,1955-01-26
51,Honorata,JAKUBOWSKA,F,1972-12-13
52,Ludwik,BRZEZIŃSKI,M,1990-12-25
53,Emilia,STĘPIEŃ,F,1972-11-30
54,Renata,SZYMCZAK,F,1978-08-15
55,Edward,KOŁODZIEJ,M,1956-01-24
56,Dorota,PIOTROWSKA,F,1991-06-12
57,Feliks,WITKOWSKI,M,1983-06-20
58,Leszek,WRÓBEL,M,1990-06-28
59,Ignacy,PAWLAK,M,1988-01-29
60,Marek,LEWANDOWSKI,M,1976-01-24
61,Czesław,SZEWCZYK,M,1961-08-23
62,Stefania,BORKOWSKA,F,1976-02-28
63,Jakub,PIETRZAK,M,1943-08-31
64,Damian,NOWICKI,M,1949-05-11
65,Leon,KOWALCZYK,M,1956-04-25
66,Julia,ZIELIŃSKA,F,1976-03-08
67,Stefan,KUBIAK,M,1992-06-16
68,Zdzisława,KAMIŃSKA,F,1999-06-29
69,Emil,CZERWIŃSKI,M,1997-02-16
70,Bogumił,NOWAKOWSKI,M,1946-01-18
71,Krzysztof,ZAWADZKI,M,1999-08-25
72,Zuzanna,PRZYBYLSKA,F,1996-10-15
73,Katarzyna,KUCHARSKA,F,1980-11-11
74,Alfred,KRUPA,M,1999-10-08
75,Mirosława,JAWORSKA,F,2000-07-07
76,Wiktor,SZULC,M,1946-03-31
77,Wojciech,WRÓBEL,M,1990-04-16
78,Feliks,CIEŚLAK,M,1966-03-14
79,Felicja,WILK,F,1965-07-09
80,Agata,SZYMCZAK,F,1973-10-09
81,Małgorzata,WIECZOREK,F,1979-03-14
82,Janusz,URBAŃSKI,M,1983-12-08
83,Marianna,MAZUREK,F,1990-12-01
84,Aleksander,SIKORSKI,M,1954-11-30
85,Czesław,GŁOWACKI,M,1951-03-21
86,Monika,KACZMARCZYK,F,1992-05-16
87,Alina,WITKOWSKA,F,1949-03-11
88,Janina,KAŹMIERCZAK,F,1969-11-02
89,Justyna,WILK,F,1979-12-14
90,Alina,ZAWADZKA,F,1943-03-20
91,Wiesław,SIKORA,M,1952-11-26
92,Agata,LEWANDOWSKA,F,1964-03-24
93,Hieronim,WIECZOREK,M,1947-02-11
94,Stanisław,KAŹMIERCZAK,M,1981-02-08
95,Ireneusz,WRÓBEL,M,1985-08-09
96,Adam,KACZMARCZYK,M,1960-04-05
97,Krystian,LEWANDOWSKI,M,1964-06-28
98,Wacław,ZAWADZKI,M,1987-12-14
99,Norbert,ZAWADZKI,M,1998-02-03
100,Zofia,STĘPIEŃ,F,1974-08-06
101,Bożena,ANDRZEJEWSKA,F,1963-04-18
102,Natalia,CHMIELEWSKA,F,1977-04-22
103,Wiktor,MAKOWSKI,M,1971-09-21
104,Renata,WÓJCIK,F,1970-06-28
105,Janina,RUTKOWSKA,F,1990-05-09
106,Jerzy,MICHALSKI,M,2001-02-27
107,Karolina,WOJCIECHOWSKA,F,1990-03-12
108,Lidia,KUBIAK,F,1961-01-02
109,Alicja,WRÓBLEWSKA,F,1973-09-11
110,Olga,KRAWCZYK,F,1985-09-27
111,Kazimierz,SZYMAŃSKI,M,1983-08-05
112,Regina,KRAWCZYK,F,1968-07-25
113,Hubert,JAWORSKI,M,1944-05-03
114,Mirosław,A,M,1950-06-28
115,Wiesława,KRUPA,F,1988-08-25
116,Leon,NOWAKOWSKI,M,1956-02-25
117,Marcin,JAKUBOWSKI,M,1990-09-14
118,Mikołaj,ZAWADZKI,M,1960-05-02
119,Piotr,WITKOWSKI,M,1980-11-02
120,Rafał,MACIEJEWSKI,M,1996-06-06
121,Marzena,MALINOWSKA,F,1948-05-08
122,Zofia,MAZUREK,F,1989-08-04
123,Antoni,SZULC,M,1956-10-16
124,Julian,SZYMCZAK,M,1961-10-28
125,Wiktor,JAKUBOWSKI,M,1982-04-06
126,Eleonora,KACZMARCZYK,F,1981-12-07
127,Alfred,MICHALAK,M,1990-01-19
128,Emilia,NOWAKOWSKA,F,1968-07-30
129,Paweł,DUDEK,M,1971-05-11
130,Halina,SZYMAŃSKA,F,1995-02-10
131,Dorota,PIETRZAK,F,1972-10-12
132,Ludwik,WALCZAK,M,1946-02-11
133,Wiktoria,SIKORA,F,1988-06-07
134,Marzena,SZCZEPAŃSKA,F,1945-08-02
135,Władysława,GÓRSKA,F,1961-02-05
136,Alfred,BRZEZIŃSKI,M,1989-10-25
137,Daniel,MARCINIAK,M,1976-09-30
138,Waldemar,WRÓBEL,M,1957-03-07
139,Antonina,BOROWSKA,F,1971-11-02
140,Aleksander,PRZYBYLSKI,M,1987-09-18
